,UtcDatetime,Price_Expected,Price_P10,Price_P90,MWh_Estimate,Expected,P10,P90
0,2023-04-01 23:00:00,79.6372496595872,64.46587442326114,99.3820141310948,-10.827683935122161,-862.2869687764252,-698.0161128563473,-1076.077037847339
1,2023-04-02 00:00:00,80.46734298797668,65.28290406493073,100.75754221451783,27.807266383835163,2237.576841666098,1815.3391036438843,2801.791816539614
2,2023-04-02 01:00:00,78.59995858288897,64.61671532192827,96.21633673060617,26.16236212402665,2056.360579379038,1690.5259055174286,2517.246643793405
3,2023-04-02 02:00:00,80.24646290385715,66.71592817456413,95.65212843266335,7.739224057532872,621.0453562374504,516.3295163492219,740.2732535202922
4,2023-04-02 03:00:00,79.08416258117674,66.2543619182412,88.96282131078726,-4.903924679577591,-387.82277664555926,-324.9064005405287,-436.26697499082087
5,2023-04-02 04:00:00,85.87680096995429,70.70757867202471,104.84429966281341,4.393972161107403,377.34027274694034,310.6871322641881,460.6829339692044
6,2023-04-02 05:00:00,92.76011824640808,72.34547172244679,109.11733868682471,11.14594719413737,1033.899379696403,806.3588075533503,1216.216094968151
7,2023-04-02 06:00:00,101.85149643662281,78.80771698528282,142.67587800670947,15.181920596814685,1546.3013315675612,1196.4525016868079,2166.0938509786815
8,2023-04-02 07:00:00,96.61788255092594,71.20290148261793,136.72428524124436,18.543988024471474,1791.680856974162,1320.3857524012892,2535.4135081680574
9,2023-04-02 08:00:00,112.93901248141447,80.95279373485252,164.17099927441836,15.259391296495565,1723.3805840936998,1235.2903561446092,2505.1495174650395
10,2023-04-02 09:00:00,116.67791262724846,76.73317038925008,163.34333663159845,6.237201960238613,727.7437053552237,478.60028076715406,1018.8053794305215
11,2023-04-02 10:00:00,118.01229660307321,83.63083870497361,163.20623122146824,6.308917320259473,744.5298220427268,527.6200468136344,1029.6546189273934
12,2023-04-02 11:00:00,113.97804865831122,81.91643409409659,156.69051177814785,-2.326748693264376,-265.1982757765491,-190.59895598531662,-364.57944352673184
